🕘️更新时间,#genre#
CGTN俄语,http://183.44.113.165:2222/rtp/239.253.43.201:5146
CGTN俄语,http://14.118.74.55:10001/rtp/239.253.43.201:5146
CGTN法语,http://113.65.124.202:9530/rtp/239.77.0.228:5146
CGTN法语,http://113.65.124.202:9527/rtp/239.77.0.228:5146
CGTN法语,http://14.118.74.55:10001/rtp/239.77.0.228:5146
CGTN法语,http://183.44.113.165:2222/rtp/239.77.0.228:5146

💰央视付费频道,#genre#
兵器科技,http://113.65.124.202:9530/rtp/239.253.43.9:5146
兵器科技,http://113.65.124.202:9527/rtp/239.253.43.9:5146
兵器科技,http://14.118.74.55:10001/rtp/239.253.43.9:5146
兵器科技,http://113.65.124.202:9527/rtp/239.253.43.18:5146
兵器科技,http://113.65.124.202:9530/rtp/239.253.43.18:5146
兵器科技,http://14.118.74.55:10001/rtp/239.253.43.18:5146
兵器科技,http://221.232.41.214:8888/rtp/239.69.1.79:10114
兵器科技,http://27.18.153.170:8888/rtp/239.69.1.79:10114
兵器科技,http://60.4.29.183:8077/rtp/239.253.93.47:6435
兵器科技,http://221.232.40.13:8888/rtp/239.69.1.79:10114
第一剧场,http://113.65.124.202:9530/rtp/239.253.43.15:5146
第一剧场,http://183.44.113.165:2222/rtp/239.253.43.15:5146
第一剧场,http://183.236.43.98:4013/udp/239.253.43.15:5146
第一剧场,http://113.119.24.176:58888/udp/239.253.43.15:5146
第一剧场,http://183.44.113.165:2222/rtp/239.253.43.28:5146
第一剧场,http://113.65.124.202:9527/rtp/239.253.43.15:5146
第一剧场,http://27.18.153.170:8888/rtp/239.69.1.74:10084
第一剧场,http://14.118.74.55:10001/rtp/239.253.43.28:5146
第一剧场,http://60.4.29.183:8077/rtp/239.253.93.138:6428
风云剧场,http://113.65.124.202:9530/rtp/239.253.43.16:5146
风云剧场,http://113.65.124.202:9527/rtp/239.253.43.16:5146
风云剧场,http://14.118.74.55:10001/rtp/239.253.43.26:5146
风云剧场,http://14.118.74.55:10001/rtp/239.253.43.16:5146
风云剧场,http://183.44.113.165:2222/rtp/239.253.43.26:5146
风云剧场,http://116.2.164.201:4010/rtp/232.0.0.45:1234
风云剧场,http://60.4.29.183:8077/rtp/239.253.93.251:6429
风云剧场,http://113.65.124.202:9527/rtp/239.253.43.26:5146
风云音乐,http://14.118.74.55:10001/rtp/239.253.43.6:5146
风云音乐,http://113.65.124.202:9527/rtp/239.253.43.29:5146
风云音乐,http://183.236.43.98:4013/udp/239.253.43.6:5146
风云音乐,http://113.65.124.202:9530/rtp/239.253.43.29:5146
风云音乐,http://113.119.24.176:58888/udp/239.253.43.6:5146
风云音乐,http://183.44.113.165:2222/rtp/239.253.43.29:5146
风云音乐,http://14.118.74.55:10001/rtp/239.253.43.29:5146
风云音乐,http://116.2.164.201:4010/rtp/232.0.0.47:1234
风云音乐,http://113.65.124.202:9530/rtp/239.253.43.6:5146
风云足球,http://113.119.24.176:58888/udp/239.253.43.14:5146
风云足球,http://183.44.113.165:2222/rtp/239.253.43.14:5146
风云足球,http://113.65.124.202:9527/rtp/239.253.43.20:5146
风云足球,http://14.118.74.55:10001/rtp/239.253.43.14:5146
风云足球,http://14.118.74.55:10001/rtp/239.253.43.20:5146
风云足球,http://60.4.29.183:8077/rtp/239.253.93.254:6432
风云足球,http://106.116.127.10:4022/rtp/239.254.201.222:7251
高尔夫网球,http://183.44.113.165:2222/rtp/239.253.43.12:5146
高尔夫网球,http://113.65.124.202:9527/rtp/239.253.43.22:5146
高尔夫网球,http://14.118.74.55:10001/rtp/239.253.43.22:5146
高尔夫网球,http://60.4.29.183:8077/rtp/239.253.93.122:6465
高尔夫网球,http://14.118.74.55:10001/rtp/239.253.43.12:5146
高尔夫网球,http://113.65.124.202:9530/rtp/239.253.43.22:5146
高尔夫网球,http://113.65.124.202:9527/rtp/239.253.43.12:5146
怀旧剧场,http://183.44.113.165:2222/rtp/239.253.43.5:5146
怀旧剧场,http://113.65.124.202:9527/rtp/239.253.43.5:5146
怀旧剧场,http://14.118.74.55:10001/rtp/239.253.43.25:5146
怀旧剧场,http://116.2.164.201:4010/rtp/232.0.0.38:1234
怀旧剧场,http://60.4.29.183:8077/rtp/239.253.93.252:6430
怀旧剧场,http://14.118.74.55:10001/rtp/239.253.43.5:5146
女性时尚,http://14.118.74.55:10001/rtp/239.253.43.8:5146
女性时尚,http://183.44.113.165:2222/rtp/239.253.43.8:5146
女性时尚,http://113.65.124.202:9530/rtp/239.253.43.23:5146
女性时尚,http://113.65.124.202:9527/rtp/239.253.43.23:5146
女性时尚,http://14.118.74.55:10001/rtp/239.253.43.23:5146
女性时尚,http://60.4.29.183:8077/rtp/239.253.92.144:6114
女性时尚,http://116.2.164.201:4010/rtp/232.0.0.51:1234
女性时尚,http://106.116.127.10:4022/rtp/239.254.201.228:7255
世界地理,http://183.44.113.165:2222/rtp/239.253.43.7:5146
世界地理,http://116.2.164.201:4010/rtp/232.0.0.63:1234
世界地理,http://60.4.29.183:8077/rtp/239.253.92.131:6113
世界地理,http://121.29.215.252:2083/rtp/239.253.92.131:6113
世界地理,http://121.29.169.87:2083/rtp/239.253.92.131:6113
央视台球,http://183.44.113.165:2222/rtp/239.253.43.11:5146
央视台球,http://113.65.124.202:9527/rtp/239.253.43.21:5146
央视台球,http://116.2.164.201:4010/rtp/232.0.0.60:1234
文化精品,http://183.44.113.165:2222/rtp/239.253.43.13:5146
文化精品,http://113.119.24.176:58888/udp/239.253.43.13:5146
文化精品,http://14.118.74.55:10001/rtp/239.253.43.27:5146
文化精品,http://113.65.124.202:9527/rtp/239.253.43.27:5146
文化精品,http://113.65.124.202:9530/rtp/239.253.43.27:5146
文化精品,http://183.44.113.165:2222/rtp/239.253.43.27:5146
文化精品,http://183.236.43.98:4013/udp/239.253.43.13:5146
文化精品,http://113.65.124.202:9530/rtp/239.253.43.13:5146
文化精品,http://14.118.74.55:10001/rtp/239.253.43.13:5146
文化精品,http://60.4.29.183:8077/rtp/239.253.93.175:6439
电视指南,http://113.65.124.202:9530/rtp/239.253.43.10:5146
电视指南,http://183.44.113.165:2222/rtp/239.253.43.10:5146
电视指南,http://106.116.127.10:4022/rtp/239.254.201.217:7250
电视指南,http://60.4.29.183:8077/rtp/239.253.93.249:6427
电视指南,http://113.65.124.202:9530/rtp/239.253.43.19:5146
电视指南,http://14.118.74.55:10001/rtp/239.253.43.19:5146
卫生健康,http://113.65.124.202:9530/rtp/239.77.0.212:5146
卫生健康,http://113.65.124.202:9527/rtp/239.77.0.212:5146
卫生健康,http://183.44.113.165:2222/rtp/239.77.0.212:5146
卫生健康,http://14.118.74.55:10001/rtp/239.77.0.212:5146
中国交通,http://39.77.94.75:4002/rtp/239.253.254.177:8000
中国交通,http://144.255.16.170:6688/udp/239.21.1.115:5002
中国交通,http://221.220.135.194:8012/rtp/239.3.1.188:8001
中国交通,http://111.196.132.166:20000/rtp/239.3.1.188:8001
中国交通,http://114.254.83.60:8888/rtp/239.3.1.188:8001
中国交通,http://60.4.29.183:8077/rtp/239.253.93.189:6357
中国交通,http://106.116.127.10:4022/rtp/239.254.201.110:5181
中国交通,http://121.29.215.252:2083/rtp/239.253.93.189:6357
中国交通,http://182.138.203.158:8188/rtp/239.94.0.87:5140
中国天气,http://183.44.113.165:2222/rtp/239.77.1.2:5146
中国天气,http://113.65.124.202:9527/rtp/239.77.1.2:5146
中国天气,http://14.118.74.55:10001/rtp/239.77.1.2:5146
中国天气,http://14.145.179.245:8888/rtp/239.77.1.2:5146
中国天气,http://113.65.124.202:9530/rtp/239.77.1.2:5146
中国天气,http://113.25.104.114:10000/rtp/239.1.1.107:8107

📡卫视频道,#genre#
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146
安徽卫视,http://113.65.124.202:9527/rtp/239.77.1.92:5146
安徽卫视,http://113.65.124.202:9530/rtp/239.77.1.92:5146
安徽卫视,http://144.255.16.170:6688/udp/239.21.1.159:5002
安徽卫视,http://113.65.124.202:9530/rtp/239.77.0.183:5146
安徽卫视,http://113.65.124.202:9527/rtp/239.77.0.183:5146
安徽卫视,http://183.44.113.165:2222/rtp/239.77.1.92:5146
安徽卫视,http://183.44.113.165:2222/rtp/239.77.0.183:5146
安徽卫视,http://116.2.164.201:4010/rtp/232.0.0.141:1234
安徽卫视,http://60.4.29.183:8077/rtp/239.253.92.209:6566
北京卫视,http://113.65.124.202:9530/rtp/239.77.0.3:5146
北京卫视,http://113.65.124.202:9527/rtp/239.77.0.3:5146
北京卫视,http://113.65.124.202:9530/rtp/239.77.1.13:5146
北京卫视,http://113.65.124.202:9527/rtp/239.77.0.2:5146
北京卫视,http://183.44.113.165:2222/rtp/239.77.0.2:5146
北京卫视,http://183.44.113.165:2222/rtp/239.77.1.13:5146
北京卫视,http://113.65.124.202:9527/rtp/239.77.1.13:5146
北京卫视,http://14.118.74.55:10001/rtp/239.77.0.2:5146
北京卫视,http://113.65.124.202:9530/rtp/239.77.0.2:5146
兵团卫视,http://113.65.124.202:9530/rtp/239.77.1.29:5146
兵团卫视,http://183.44.113.165:2222/rtp/239.77.1.29:5146
兵团卫视,http://14.118.74.55:10001/rtp/239.77.1.29:5146
兵团卫视,http://113.65.124.202:9530/rtp/239.77.0.48:5146
兵团卫视,http://183.44.113.165:2222/rtp/239.77.0.48:5146
兵团卫视,http://14.118.74.55:10001/rtp/239.77.0.48:5146
兵团卫视,http://219.156.87.51:4022/rtp/225.1.4.97:1126
兵团卫视,http://113.65.124.202:9527/rtp/239.77.0.48:5146
兵团卫视,http://113.65.124.202:9527/rtp/239.77.1.29:5146
